"pathway","pval","padj","log2err","ES","NES","size","TERM"
"GO:0070374",0.262461851475076,0.537026337501397,0.0774767547848578,0.374532853768365,1.11469970893087,127,"positive regulation of ERK1 and ERK2 cascade"
"GO:0015031",0.263263263263263,0.537572537572538,0.0764767053228531,0.35234833541716,1.08369884367968,324,"protein transport"
"GO:1904357",0.263231197771588,0.537572537572538,0.0946646223153342,0.586160886525232,1.19796595407897,10,"negative regulation of telomere maintenance via telomere lengthening"
"GO:0006956",0.265017667844523,0.54061488330759,0.160801401070022,-0.453189008987322,-1.16064003924419,11,"complement activation"
"GO:0030317",0.265969802555168,0.542016227739545,0.0838361057159929,0.453208469446128,1.16967702057249,34,"flagellated sperm motility"
"GO:0001570",0.267589388696655,0.544773616031836,0.083129129135339,0.44591148863072,1.16359613359643,36,"vasculogenesis"
"GO:0070098",0.268065268065268,0.545199410871053,0.0835990603684159,0.448688653442995,1.16342859364311,35,"chemokine-mediated signaling pathway"
"GO:0051480",0.26890756302521,0.546368845749035,0.175204047558551,-0.410664278715618,-1.13003652657524,15,"regulation of cytosolic calcium ion concentration"
"GO:0010820",0.269819193324061,0.547676694294321,0.0931454575337804,0.567699425024935,1.18103408141628,11,"positive regulation of T cell chemotaxis"
"GO:0001676",0.27027027027027,0.547866039418322,0.0860347242455604,0.48551883991276,1.16507944128309,22,"long-chain fatty acid metabolic process"
"GO:1905606",0.270448548812665,0.547866039418322,0.0899860794997137,0.5349686484235,1.18171762759633,14,"regulation of presynapse assembly"
"GO:0035774",0.271531100478469,0.548970889592473,0.0843144320642653,0.468611992274013,1.1596166473414,26,"positive regulation of insulin secretion involved in cellular response to glucose stimulus"
"GO:0045907",0.271276595744681,0.548970889592473,0.0902635484340068,0.54070215947543,1.17816653119513,13,"positive regulation of vasoconstriction"
"GO:0051642",0.273148148148148,0.551694481042307,0.183023938384487,-0.393731299493276,-1.12949635330105,17,"centrosome localization"
"GO:0045580",0.274373259052925,0.553513111520678,0.0922597260527354,0.582076923937306,1.1896193580325,10,"regulation of T cell differentiation"
"GO:0060997",0.274590163934426,0.553513111520678,0.170932335370056,-0.410344366085632,-1.10433794591846,14,"dendritic spine morphogenesis"
"GO:0000902",0.277777777777778,0.554765417220745,0.287857117255149,-0.303352906727123,-1.09634094149516,52,"cell morphogenesis"
"GO:0002244",0.277904328018223,0.554765417220745,0.080419996876154,0.431440823320894,1.14590219755696,42,"hematopoietic progenitor cell differentiation"
"GO:0007507",0.276876267748479,0.554765417220745,0.0745500777420554,0.372355357432298,1.10899584387513,126,"heart development"
"GO:0016064",0.277566539923954,0.554765417220745,0.163180127180689,-0.442482070745545,-1.14982056715661,12,"immunoglobulin mediated immune response"
"GO:0030330",0.277124183006536,0.554765417220745,0.0880945010398517,0.515472971793025,1.17209630492386,16,"DNA damage response, signal transduction by p53 class mediator"
"GO:0043407",0.277777777777778,0.554765417220745,0.224966093540314,-0.322057686054132,-1.10029726801137,35,"negative regulation of MAP kinase activity"
"GO:0043410",0.275647668393782,0.554765417220745,0.0758886900606117,0.383244200362086,1.12267221939379,97,"positive regulation of MAPK cascade"
"GO:0045582",0.277925531914894,0.554765417220745,0.0888945288620449,0.537177839454708,1.17048719087649,13,"positive regulation of T cell differentiation"
"GO:0140374",0.277925531914894,0.554765417220745,0.0888945288620449,0.536112056584604,1.16816489627294,13,"antiviral innate immune response"
"GO:1990000",0.27735368956743,0.554765417220745,0.0865399737444125,0.511761460576316,1.17569961917718,17,"amyloid fibril formation"
"GO:0007565",0.278706800445931,0.555782146450227,0.0791316651768349,0.418914762981834,1.14849193943189,49,"female pregnancy"
"GO:0003341",0.279411764705882,0.556190476190476,0.186432558434075,-0.389012340017389,-1.13823479337615,19,"cilium movement"
"GO:0007588",0.279944289693593,0.556190476190476,0.0911073131586733,0.579474990700604,1.18430165856805,10,"excretion"
"GO:0034497",0.28,0.556190476190476,0.166933848713193,-0.429490806194812,-1.12690830300328,13,"protein localization to phagophore assembly site"
"GO:0035162",0.279738562091503,0.556190476190476,0.0875697115548511,0.515117121836636,1.17128716372381,16,"embryonic hemopoiesis"
"GO:0009048",0.280945757997218,0.557527310044965,0.0908241419007155,0.563379478612905,1.17204692427361,11,"dosage compensation by inactivation of X chromosome"
"GO:1904263",0.281637717121588,0.558358383895758,0.0843144320642653,0.498468702369091,1.17769938795501,20,"positive regulation of TORC1 signaling"
"GO:0050482",0.282685512367491,0.559350616920767,0.155241966228839,-0.44568562882629,-1.14142350205582,11,"arachidonic acid secretion"
"GO:2001244",0.282424242424242,0.559350616920767,0.0828962134571565,0.476026757746105,1.15675496991413,24,"positive regulation of intrinsic apoptotic signaling pathway"
"GO:0034122",0.283244680851064,0.559915017078892,0.0878312634480124,0.53336321386941,1.1621752873361,13,"negative regulation of toll-like receptor signaling pathway"
"GO:0007026",0.285012285012285,0.56053332109418,0.083129129135339,0.481167773828199,1.15463836829878,22,"negative regulation of microtubule depolymerization"
"GO:0031103",0.284167794316644,0.56053332109418,0.0886261133285098,0.545731130208049,1.16384524822859,12,"axon regeneration"
"GO:0050919",0.284493284493284,0.56053332109418,0.0828962134571565,0.479744216370648,1.16186998617923,23,"negative chemotaxis"
